"variable","importance"
"HighBP",3779.42590260172
"GenHlth",2791.53731678455
"Age",1537.94326702031
"HighChol",1077.86570760584
"BMI",933.990387722255
"Income",516.813850709588
"PhysHlth",303.878265735768
"DiffWalk",228.177728308488
"PhysActivity",191.716206737644
"CholCheck",33.7245575151648
"MentHlth",7.80172247919838
"Education",5.09548509959488
"HeartDiseaseorAttack",2.65759836633195
