"dataset","accuracy","precision","recall","specificity","f1","auc"
"Balanced binary",0.718945487042002,0.705536912751678,0.751563896336014,0.686327077747989,0.727823453050628,0.769769466989912
"Imbalanced binary",0.839731793472513,0.574785100286533,0.12796631793825,0.981186135551104,0.209329020139831,0.718277629800307
