"variable","importance"
"HighBP",3672.68908449763
"GenHlth",2492.11025384731
"HighChol",880.634554666034
"Age",647.523782180202
"DiffWalk",553.196002106175
"HeartDiseaseorAttack",410.627828777608
"PhysHlth",280.382172429102
"BMI",181.427256602912
"Income",155.744386904425
"MentHlth",65.477302461246
"CholCheck",1.33736453331716
