"variable","importance"
"HighBP",3415.88278654229
"GenHlth",2308.88803019283
"HighChol",825.740249404607
"Age",606.634356211997
"DiffWalk",512.556951943554
"HeartDiseaseorAttack",381.652445534972
"PhysHlth",260.363281444915
"BMI",167.397696239991
"Income",141.642218058139
"MentHlth",61.7030442878177
"CholCheck",1.32749074202953
