"CP","nsplit","rel error","xerror","xstd"
0.373314962389216,0,1,1.00945855366053,0.00431480409365526
0.0129713760830168,1,0.626685037610784,0.626685037610784,0.00400304293947864
0.0110225664705444,4,0.587770909361734,0.588627392567215,0.00393297862701739
0.00177503041136019,7,0.551835853131749,0.554144633946526,0.00386237557036762
0.00169434721084382,10,0.546510761897669,0.550234601921501,0.00385392557795036
0.00104267520667312,12,0.543122067475981,0.548521635510538,0.00385019454492546
0.00096819840619647,14,0.541036717062635,0.547553437104342,0.00384807781975654
5e-04,16,0.539100320250242,0.54692038430029,0.00384669072411911
