"class","support","precision","recall","specificity","f1","auc_ovr"
"No diabetes",39439,0.85053959601732,0.981186135551104,0.132431742791528,0.911203729867194,0.716506162749867
"Prediabetes",1124,0,0,1,0,0.571374942140843
"Diabetes",6714,0.539325842696629,0.142984807864164,0.979784532702216,0.226041911937838,0.732414800188979
